4664890,02-2220-25,7
4742824,06-6040-01,7
4742824,06-6040-01,8
4761229,05-5170-01,8
4761229,05-5170-01,9
4780362,07-7050-22,8
4780362,07-7050-22,9
4797409,06-6070-01,7
4827394,07-7150-01,11
4827394,07-7150-01,7
4828230,02-2040-25,7
4830851,01-1110-23,7
4834359,02-2410-24,10
4834359,02-2410-24,9
4834408,01-1220-23,7
4837646,02-2160-25,7
4841074,05-5020-25,12
4841074,05-5020-25,7
4841074,05-5020-25,9
4841674,01-1210-23,8
4844410,05-5060-01,7
4846716,09-9150-24,12
4846716,09-9150-24,8
4846716,09-9150-24,9
4848949,06-6270-01,10
4854449,M3-3510-01,8
4859216,02-2300-25,7
4859592,02-2030-25,7
4859592,02-2750-24,7
4859662,02-2470-24,9
4864325,02-2260-25,10
4864419,05-5180-01,13
4864419,05-5180-01,9
4865113,02-2250-51,9
4865113,TR-6100-61,8
4865113,TR-6100-61,9
4866818,07-7150-01,11
4866934,07-7230-22,17
4866934,07-7230-22,7
4866934,07-7230-22,8
4866934,07-7230-22,9
4867711,05-5220-01,12
4867843,02-2790-24,7
4871127,08-8070-01,8
4878979,M3-3730-01,11
4878979,M3-3730-01,9
4882129,09-9180-24,7
4882129,09-9180-24,8
4883757,M3-3030-01,7
4883757,M3-3030-01,8
4883818,02-2760-24,9
4886457,04-4010-01,8
4893858,08-8120-01,9
4894114,TR-6050-61,7
4895628,06-6182-01,8
4895628,06-6182-01,8
4895628,06-6182-01,9
4899392,02-2180-25,10
4899392,02-2180-25,7
4899392,02-2180-25,7
4900690,01-1200-23,7
4900690,02-2270-25,10
4900904,02-2190-25,7
4900911,02-2720-24,11
4900911,02-2720-24,12
4900911,02-2720-24,7
